,V,E_V,I,E_I,V-I,PROB_VI,neighbor_dist
784,22.506815,0.06370395,22.020975,0.11338615,0.48583984,0.8735196,0.03849772097480802
785,22.508312,0.06075323,22.085354,0.10897323,0.42295837,0.92525756,0.04207728098285069
786,22.508675,0.06634601,22.032635,0.11417181,0.4760399,0.8718497,0.03061921498534666
787,22.509836,0.05805114,21.996256,0.1027134,0.5135803,0.90108997,0.012631382769798947
788,22.510664,0.09305331,21.998022,0.15785931,0.5126419,0.8911428,0.01483880795837965
789,22.511005,0.07103753,21.897808,0.11919896,0.6131973,0.9377584,0.013177349204120095
790,22.516838,0.060009122,22.043623,0.106183305,0.4732151,0.8949492,0.01963057595238342
791,22.517965,0.10546464,21.902853,0.17832938,0.6151123,0.96834934,0.011858846638080556
792,22.52275,0.06571295,21.945803,0.111731455,0.57694817,0.93561053,0.037040145607266005
793,22.524006,0.076475784,21.910942,0.1279965,0.6130638,0.92412776,0.013018131815013033
794,22.528248,0.08955765,22.073774,0.16415235,0.4544735,0.9421362,0.04178944476510468
795,22.528368,0.08664828,21.929792,0.14753725,0.5985756,0.9221571,0.04729002754931776
796,22.529394,0.0838678,21.927895,0.1437985,0.60149956,0.90503854,0.04576878649867612
797,22.531681,0.10882518,21.980665,0.18456851,0.55101585,0.9548523,0.0318261999803668
798,22.532503,0.06740114,22.069645,0.1212536,0.4628582,0.88182956,0.04376087015702444
799,22.532665,0.07441674,22.048723,0.13220169,0.48394203,0.9187622,0.027806776215682717
800,22.535843,0.057207856,22.03263,0.10191924,0.503212,0.89554775,0.025441680229544756
801,22.535368,0.07295723,21.921074,0.12385896,0.61429405,0.88210464,0.018075897509737645
802,22.538496,0.06366392,21.98763,0.12857735,0.5508652,0.86885136,0.025180592425405175
803,22.540396,0.073010325,22.090254,0.1270712,0.4501419,0.9144998,0.044505074100070666
804,22.542885,0.07922859,22.03798,0.13589074,0.5049057,0.93467486,0.018254388619912857
805,22.543335,0.07982765,21.97256,0.13504307,0.5707741,0.9228563,0.04262704863068953
806,22.549294,0.07748576,22.229315,0.14809348,0.3199787,0.97732514,0.18103198569582502
807,22.553217,0.080707245,22.04137,0.14076805,0.51184654,0.89180607,0.03884133843771625
808,22.553793,0.09812849,22.066818,0.1596678,0.48697472,0.9149538,0.047884152686612266
809,22.553705,0.07865205,21.974602,0.13255617,0.57910347,0.9238999,0.04262704863068953
810,22.560545,0.06452748,22.056385,0.112085745,0.5041599,0.8614617,0.025441680229544756
811,22.561033,0.07813846,22.012318,0.1329633,0.5487156,0.91453856,0.025180592425405175
812,22.564053,0.093403,22.30331,0.1832696,0.2607422,0.9627662,0.20271838209054607
813,22.564707,0.06943013,22.017681,0.11890985,0.5470257,0.9208312,0.03265721276414235
814,22.56474,0.09139028,21.88773,0.15568885,0.6770096,0.9604464,0.07251427390180183
815,22.569038,0.096107796,21.906622,0.1607202,0.66241646,0.93384844,0.0632231850015406
816,22.573929,0.09307901,22.016588,0.15614994,0.5573406,0.93519855,0.04472837929371194
817,22.57446,0.078438155,22.034655,0.14092584,0.53980446,0.9110423,0.03715352216716755
818,22.574263,0.09014711,21.973904,0.14402096,0.60035896,0.89395565,0.04729002754931776
819,22.5779,0.084729716,22.147783,0.16004784,0.43011665,0.9587756,0.07271469999460818
820,22.578571,0.06581811,22.123978,0.11607822,0.45459366,0.8676629,0.044505074100070666
821,22.57883,0.09036335,21.835854,0.15566345,0.74297714,0.9665876,0.21477380068285729
822,22.582993,0.075209,22.20713,0.14795867,0.37586212,0.94419295,0.11674903956482674
823,22.580757,0.06500182,21.931566,0.110220835,0.6491909,0.8757715,0.05052486068609484
824,22.584362,0.06729372,22.077253,0.11794851,0.5071087,0.8667755,0.017541087956972554
825,22.585127,0.11422582,22.122623,0.19881247,0.46250343,0.9556459,0.05329557821140303
826,22.585812,0.07959195,22.049704,0.13675751,0.536108,0.9399844,0.049329912939278325
827,22.588184,0.0672608,22.028557,0.1164183,0.55962753,0.90029794,0.043047049328275404
